samosa_id,order_id,samosa_name_id,quantity,order_date,order_time,order_day,unit_price,total_price,serving_size,samosa_category,samosa_ingredients,samosa_name
1,1,but_ckn_j,3,2023-01-01,10:21:00,Sunday,6.17,18.51,Jodi (Pair),Non-Veg,"Chicken Breast, Butter Chicken Gravy, Cream, Fenugreek",The Butter Chicken
2,1,onion_p_s,2,2023-01-01,10:21:00,Sunday,1.5,3.0,Single,Classic,"Caramelized Onions, Poha, Mild Spices",The Onion Patti
3,2,ckn_keema_s,1,2023-01-01,11:49:00,Sunday,3.0,3.0,Single,Non-Veg,"Minced Chicken, Green Chili, Garam Masala, Cilantro",The Chicken Keema
4,2,piz_sam_f,1,2023-01-01,11:49:00,Sunday,13.75,13.75,Family Box,Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
5,2,pan_tik_s,1,2023-01-01,11:49:00,Sunday,2.5,2.5,Single,Fusion,"Paneer Cubes, Tandoori Sauce, Capsicum, Onions",The Paneer Tikka
6,2,pan_tik_f,1,2023-01-01,11:49:00,Sunday,13.75,13.75,Family Box,Fusion,"Paneer Cubes, Tandoori Sauce, Capsicum, Onions",The Paneer Tikka
7,3,piz_sam_j,3,2023-01-01,12:18:00,Sunday,4.75,14.25,Jodi (Pair),Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
8,3,ckn_keema_j,2,2023-01-01,12:18:00,Sunday,5.7,11.4,Jodi (Pair),Non-Veg,"Minced Chicken, Green Chili, Garam Masala, Cilantro",The Chicken Keema
9,4,chow_sam_f,1,2023-01-01,13:51:00,Sunday,11.0,11.0,Family Box,Fusion,"Noodles, Soy Sauce, Cabbage, Carrots",The Chowmein Samosa
10,4,app_pie_f,3,2023-01-01,13:51:00,Sunday,15.12,45.36,Family Box,Sweet,"Stewed Apples, Cinnamon, Brown Sugar, Nutmeg",The Apple Pie Samosa
11,5,mut_keema_j,3,2023-01-01,14:31:00,Sunday,6.65,19.95,Jodi (Pair),Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
12,5,but_ckn_f,2,2023-01-01,14:31:00,Sunday,17.88,35.76,Family Box,Non-Veg,"Chicken Breast, Butter Chicken Gravy, Cream, Fenugreek",The Butter Chicken
13,5,pan_tik_j,2,2023-01-01,14:31:00,Sunday,4.75,9.5,Jodi (Pair),Fusion,"Paneer Cubes, Tandoori Sauce, Capsicum, Onions",The Paneer Tikka
14,6,piz_sam_f,3,2023-01-01,16:29:00,Sunday,13.75,41.25,Family Box,Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
15,6,punjabi_j,3,2023-01-01,16:29:00,Sunday,3.32,9.96,Jodi (Pair),Classic,"Spiced Potatoes, Cashews, Raisins, Cumin",The Punjabi Samosa
16,6,choc_lav_j,3,2023-01-01,16:29:00,Sunday,4.75,14.25,Jodi (Pair),Sweet,"Dark Chocolate, Cocoa Powder, Sugar Dusting",The Choco Lava
17,7,choc_lav_s,3,2023-01-01,16:56:00,Sunday,2.5,7.5,Single,Sweet,"Dark Chocolate, Cocoa Powder, Sugar Dusting",The Choco Lava
18,8,app_pie_f,3,2023-01-01,17:36:00,Sunday,15.12,45.36,Family Box,Sweet,"Stewed Apples, Cinnamon, Brown Sugar, Nutmeg",The Apple Pie Samosa
19,8,but_ckn_j,2,2023-01-01,17:36:00,Sunday,6.17,12.34,Jodi (Pair),Non-Veg,"Chicken Breast, Butter Chicken Gravy, Cream, Fenugreek",The Butter Chicken
20,8,onion_p_s,2,2023-01-01,17:36:00,Sunday,1.5,3.0,Single,Classic,"Caramelized Onions, Poha, Mild Spices",The Onion Patti
21,9,ckn_keema_f,3,2023-01-01,18:53:00,Sunday,16.5,49.5,Family Box,Non-Veg,"Minced Chicken, Green Chili, Garam Masala, Cilantro",The Chicken Keema
22,9,onion_p_j,3,2023-01-01,18:53:00,Sunday,2.85,8.55,Jodi (Pair),Classic,"Caramelized Onions, Poha, Mild Spices",The Onion Patti
23,9,choc_lav_f,3,2023-01-01,18:53:00,Sunday,13.75,41.25,Family Box,Sweet,"Dark Chocolate, Cocoa Powder, Sugar Dusting",The Choco Lava
24,10,pan_tik_j,1,2023-01-01,19:41:00,Sunday,4.75,4.75,Jodi (Pair),Fusion,"Paneer Cubes, Tandoori Sauce, Capsicum, Onions",The Paneer Tikka
25,10,mut_keema_f,1,2023-01-01,19:41:00,Sunday,19.25,19.25,Family Box,Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
26,11,cls_aloo_f,2,2023-01-01,20:56:00,Sunday,8.25,16.5,Family Box,Classic,"Potatoes, Green Peas, Spices, Ginger",The Classic Aloo
27,12,chow_sam_f,1,2023-01-02,10:00:00,Monday,11.0,11.0,Family Box,Fusion,"Noodles, Soy Sauce, Cabbage, Carrots",The Chowmein Samosa
28,12,ckn_keema_f,2,2023-01-02,10:00:00,Monday,16.5,33.0,Family Box,Non-Veg,"Minced Chicken, Green Chili, Garam Masala, Cilantro",The Chicken Keema
29,12,punjabi_j,1,2023-01-02,10:00:00,Monday,3.32,3.32,Jodi (Pair),Classic,"Spiced Potatoes, Cashews, Raisins, Cumin",The Punjabi Samosa
30,12,piz_sam_j,3,2023-01-02,10:00:00,Monday,4.75,14.25,Jodi (Pair),Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
31,13,punjabi_f,1,2023-01-02,11:00:00,Monday,9.62,9.62,Family Box,Classic,"Spiced Potatoes, Cashews, Raisins, Cumin",The Punjabi Samosa
